,id,genre,track_name,artist_name,valence,energy,k-means_moods,moods_label
140,52sqUHimT5hjxbkE7DUfJQ,afrobeat,Makambo,Geoffrey Oryema,0.276,0.136,4,Depressed
141,2Kn9cY1wz5ZDyBdSo0vvii,afrobeat,Gbagada Gbagada Gbogodo Gbogodo,Fela Kuti,0.818,0.635,1,Excitement
142,0yfeyqPCZrkyC3hxb6ycIH,afrobeat,Mwana,Staff Benda Bilili,0.921,0.866,1,Excitement
143,5HQVUIKwCEXpe7JIHyY734,afrobeat,"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,0.531,0.655,3,Energetic
144,6NPVjNh8Jhru9xOmyQigds,afrobeat,Happy,Various Artists,0.962,0.757,1,Excitement
145,2pJKh0H5YG0ESWMytQdUQ3,afrobeat,Birima,Youssou N'Dour,0.765,0.685,1,Excitement
146,3aE0O99WPzRZ0UeSX9Boan,afrobeat,Tonight,Burna Boy,0.711,0.624,5,Contentment
147,2ha70kafYrxpwKB2DHLTJT,afrobeat,Greetings,Various Artists,0.822,0.872,1,Excitement
148,60UNH3Bd5rEkqBR694q7MD,afrobeat,Juju,Ice Prince,0.878,0.708,1,Excitement
149,6iZZeX2tFKYEAtU0gN38oE,afrobeat,Gagner l'argent français (Radio Edit),Mamani Keïta,0.937,0.865,1,Excitement
150,13ZxF2d4gzN0Qnhr8gRkWe,afrobeat,He Lives In You (Reprise),Various Artists,0.524,0.344,5,Contentment
151,7ceisg9MpCeJoLaoPfyu0V,afrobeat,Tonga,Joey B,0.538,0.645,3,Energetic
152,78cf9pAmzyaHLQJtUfWiZ4,afrobeat,Pépé Kalle,Wendo Kolosoy,0.866,0.472,5,Contentment
153,3f8eBPw6U1HDtoaypMVX4v,afrobeat,,,0.903,0.85,1,Excitement
154,2KO00cY85Xc87Ix7yeCCtl,afrobeat,Ledi Coumbe,Ali Farka Touré,0.755,0.449,5,Contentment
155,6C6xlP5zYRhYSNI5ORl6Wd,afrobeat,Don't Dull,WizKid,0.925,0.799,1,Excitement
156,18vbMUJK6F4CZwIkyUHtwr,afrobeat,Diallo,Vieux Farka Touré,0.687,0.723,1,Excitement
157,64NibWSxMCKaxurg4OW5Dd,afrobeat,Jombolo,Iyanya,0.663,0.871,3,Energetic
158,4ADxDfrGrTw6D1slX8wUVS,afrobeat,Redemption Song,Various Artists,0.572,0.529,5,Contentment
159,5sje4m7tHVMFjX6x0kGowh,afrobeat,Mandjou,Salif Keita,0.763,0.643,1,Excitement
160,6JufTYmSErPhic1jK4IT8i,afrobeat,Ya Messinagh,Tinariwen,0.732,0.545,5,Contentment
161,4T6D5fwa4yNjcl58JQongI,afrobeat,Afro Shigida – Original Lagos Cut,Kojato,0.816,0.879,1,Excitement
162,2YvGLm7HGIRwzH1pgQDmRP,afrobeat,Secret Agent,Tony Allen,0.95,0.604,1,Excitement
163,0e5UqCO2phP2DgD4aYSeEA,afrobeat,Sechaba,Various Artists,0.674,0.28,5,Contentment
164,1r8V85iUIeGJ5LOFcYbyEo,afrobeat,Umhome,Miriam Makeba,0.561,0.0278,4,Depressed
165,47Yzdc2tvRr12iQZkHKx3z,afrobeat,Iniagige,Salif Keita,0.571,0.111,5,Contentment
166,37pTPl9fc7hgSI7cO5GbOs,afrobeat,Akwaaba,Blitz The Ambassador,0.788,0.953,1,Excitement
167,2DrGFzrWGzAaIV3Q6vBOdC,afrobeat,Kadi Kadi,Ali Farka Touré,0.756,0.479,5,Contentment
168,0MEn5wVttIHOLTgRQtWcOv,afrobeat,Aïcha,Africando,0.663,0.737,3,Energetic
169,0XzkemXSiXJa7VgDFPfU4S,afrobeat,Blurred Lines,Robin Thicke,0.863,0.503,5,Contentment
170,6dPj5BVcu3Sh9pOG1I6l5r,afrobeat,The Retreat Song,Miriam Makeba,0.746,0.266,5,Contentment
171,71uMowNE0zT9M0FI8MoGBm,afrobeat,Fanta bourama,Various Artists,0.651,0.657,5,Contentment
172,64kq7969WB5YTeW61hHmWf,afrobeat,Yefikir Tizita,Mulatu Astatke,0.595,0.275,5,Contentment
173,5SNmkq6aUSZsinDvR440YP,afrobeat,Ambiance à l'africaine,Magic System,0.734,0.773,1,Excitement
174,3AF8QpzspG8btjyd4s3bjM,afrobeat,Tchwa,Rokia Traoré,0.606,0.268,5,Contentment
175,3oJOtvPbyOqRPlFvspQP3o,afrobeat,Djuru,Amadou & Mariam,0.697,0.798,1,Excitement
176,6JtUHAH22sgKdPmwNhAWD3,afrobeat,Let's Start,Fela Kuti,0.746,0.852,1,Excitement
177,55fC1vUs7mVzOH7RipVlXR,afrobeat,Palea,Dobet Gnahoré,0.603,0.453,5,Contentment
178,5rr7qvhwIAaBvl9v7GD0Dh,afrobeat,Tenere Dafeo Nikchan,Tinariwen,0.348,0.27,4,Depressed
179,1jIkbwboZBGhyC16T5j4gf,afrobeat,Tabara,Vieux Farka Touré,0.525,0.347,5,Contentment
180,0bg6otrW5gxNnlCqrCrXyd,afrobeat,Dynamite,Taio Cruz,0.818,0.804,1,Excitement
181,3l33exrFeurvriZ5kfYHvH,afrobeat,Antenna,Fuse ODG,0.849,0.949,1,Excitement
182,1RyD0KjAXl8YqjfmM63cbu,afrobeat,Sina (Soumbouya),Salif Keita,0.779,0.8,1,Excitement
183,4ww7h5dDP2HLNEGeKUNKpd,afrobeat,Soundway,Various Artists,0.805,0.894,1,Excitement
184,1nS5B50pKajeniz9fCMDnH,afrobeat,Sorrow Tears & Blood,Fela Kuti,0.827,0.78,1,Excitement
185,4Vsvr0gySe7Ql93OTnA5mH,afrobeat,Aimer,Rokia Traoré,0.892,0.534,5,Contentment
186,2YBFbI8ESZD8ELOeFvAQIc,afrobeat,Yèkèrmo Sèw,Mulatu Astatke,0.384,0.528,2,Misery
187,36limZkbM66ZDEYBnjuONi,afrobeat,Kamoukié,Salif Keita,0.884,0.933,1,Excitement
188,29uoxjfhIdHFxuRn03T18W,afrobeat,Mizin,Ebo Taylor,0.893,0.841,1,Excitement
189,3TXUKx7ljLqmK7idw5HG8G,afrobeat,A chacun son problème,Amadou & Mariam,0.622,0.524,5,Contentment
190,1mDZpgKx9Xpg6ijl9DvdA6,afrobeat,Sa Golo,Boubacar Traoré,0.634,0.769,3,Energetic
191,5H9DmxuPTC7UFNQKV5YX3Q,afrobeat,Bad Girl (feat. Wizkid),Jesse Jagz,0.759,0.898,1,Excitement
192,2lnzGkdtDj5mtlcOW2yRtG,afrobeat,"Whenever, Wherever",Shakira,0.871,0.832,1,Excitement
193,24xmFCREF5JiqKBhLHqgKL,afrobeat,King of Kings,Ladysmith Black Mambazo,0.392,0.0522,4,Depressed
194,1xO2EVEOoGKPQwtVty5Ubb,afrobeat,Naweye Toro,Ali Farka Touré,0.581,0.419,5,Contentment
195,7a37qKKyo2ZrtuBxeaIMvw,afrobeat,Queen Bee,Toumani Diabaté,0.687,0.48,5,Contentment
196,0h11owW0SnQgySECDNtAI5,afrobeat,Sabura,Ekova,0.873,0.547,5,Contentment
197,6ixbshqPYUopboiy5g3kxd,afrobeat,Oleku,Various Artists,0.811,0.718,1,Excitement
198,1Ogg5nXrqc4AeMf1ryq0uL,afrobeat,C'est Pas Facile Pour Les Aigles - feat. Ebony Bones,Amadou & Mariam,0.821,0.855,1,Excitement
199,4iEBmWl1OzPIfNbZAV378G,afrobeat,Tchamantché,Rokia Traoré,0.933,0.355,5,Contentment
200,1Ja4n0VukWdL7JeWVrSPLu,alt-rock,California,Mazzy Star,0.0369,0.255,4,Depressed
201,4GiVcDqNQI0fc0yYuRGH9m,alt-rock,Inside Out,Eve 6,0.691,0.818,1,Excitement
202,6DzrElyy0I3nqqInJRPXfz,alt-rock,Houston Hades,Stephen Malkmus & The Jicks,0.692,0.525,5,Contentment
203,1G8g2LoR09NtrG4y8NQcJL,alt-rock,Ashes to Ashes,Faith No More,0.358,0.866,0,Distressed
204,4E6YM4V7Kz6zpbiNsliwEl,alt-rock,Just Like Honey,The Jesus and Mary Chain,0.535,0.437,5,Contentment
205,2TxYbRGmKGbVnSFRWlp1Qx,alt-rock,Skinny Little Bitch,Hole,0.476,0.969,3,Energetic
206,7dQLapxqvTdWf1E5obJphd,alt-rock,In Its Pull,Half Japanese,0.372,0.942,0,Distressed
207,1dmaXl48kB8627pNVww5fb,alt-rock,Thought Of Sound,The Rentals,0.359,0.836,0,Distressed
208,4ZFb9hUWOfdpq0JmbHDLyE,alt-rock,Girlfriend,Matthew Sweet,0.826,0.584,5,Contentment
209,1mIbZj0uHmRDQKQcZRRikL,alt-rock,Dreams Burn Down - 2001 Remaster,Ride,0.446,0.913,3,Energetic
210,6ULdwUqVr1tkBCfLSsbu4j,alt-rock,Holiday (Single Mix),Wheatus,0.418,0.801,3,Energetic
211,64y2b8pfVjN9vMvAmon9Po,alt-rock,Sunray Venus,Throwing Muses,0.929,0.854,1,Excitement
212,6qHdoyFDpGB7wVW5R0iExG,alt-rock,The Howl Of The Winds,The Thermals,0.622,0.884,3,Energetic
213,6fXMBtWjjUKv6ABTDPdBMS,alt-rock,The Moment,Toad The Wet Sprocket,0.43,0.795,3,Energetic
214,5fhv6zZwZVzKL5S3IHGqVr,alt-rock,Cry Of Achilles,Alter Bridge,0.203,0.985,0,Distressed
215,0rSSzTSx8TpBMtw8xqfto5,alt-rock,My Favourite Dress,The Wedding Present,0.657,0.876,3,Energetic
216,3RsjkOS5Dou8j3AM9ssgpy,alt-rock,Lazy Eye,Silversun Pickups,0.333,0.809,0,Distressed
217,2WqK4182RvloQDTJojmfVa,alt-rock,I Love A Magician,Dismemberment Plan,0.346,0.994,0,Distressed
218,4S6BDExVCTDES6DXGLaGh7,alt-rock,Between The Raindrops,Lifehouse,0.236,0.63,2,Misery
219,1eukhqIpJ2HMETMmWvR9t0,alt-rock,Sweetest Kill,Broken Social Scene,0.726,0.389,5,Contentment
220,1gL9aBoBJI0nfk2WdpaKi3,alt-rock,Antiphon,Midlake,0.461,0.814,3,Energetic
221,2TTAPkrGQQOZkaUTUlt21Q,alt-rock,Strange,Galaxie 500,0.626,0.844,3,Energetic
222,5ghIJDpPoe3CfHMGu71E6T,alt-rock,Smells Like Teen Spirit,Nirvana,0.72,0.912,1,Excitement
